<http://billylongforcongress.com/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://www.billylongforcongress.com/donate>; rel="self"; type="application/link-format"; from="Sun, 22 Jan 2012 00:46:31 GMT",
<http://web.archive.org/web/https://www.billylongforcongress.com/donate>; rel="timegate",
<http://web.archive.org/web/20141017235219/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 17 Oct 2014 23:52:19 GMT",
<http://web.archive.org/web/20141024230430/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 24 Oct 2014 23:04:30 GMT",
<http://web.archive.org/web/20141024230523/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 24 Oct 2014 23:05:23 GMT",
<http://web.archive.org/web/20141025001829/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Sat, 25 Oct 2014 00:18:29 GMT",
<http://web.archive.org/web/20141025001829/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Sat, 25 Oct 2014 00:18:29 GMT",
<http://web.archive.org/web/20141025001831/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Sat, 25 Oct 2014 00:18:31 GMT",
<http://web.archive.org/web/20141025001831/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Sat, 25 Oct 2014 00:18:31 GMT",
<http://web.archive.org/web/20141026181914/http://billylongforcongress.com/donate>; rel="memento"; datetime="Sun, 26 Oct 2014 18:19:14 GMT",
<http://web.archive.org/web/20141026182030/https://billylongforcongress.com/donate>; rel="memento"; datetime="Sun, 26 Oct 2014 18:20:30 GMT",
<http://web.archive.org/web/20141026194420/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Sun, 26 Oct 2014 19:44:20 GMT",
<http://web.archive.org/web/20141026194423/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Sun, 26 Oct 2014 19:44:23 GMT",
<http://web.archive.org/web/20141027220956/http://billylongforcongress.com/donate>; rel="memento"; datetime="Mon, 27 Oct 2014 22:09:56 GMT",
<http://web.archive.org/web/20141027220959/https://billylongforcongress.com/donate>; rel="memento"; datetime="Mon, 27 Oct 2014 22:09:59 GMT",
<http://web.archive.org/web/20141028005442/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Tue, 28 Oct 2014 00:54:42 GMT",
<http://web.archive.org/web/20141028005447/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Tue, 28 Oct 2014 00:54:47 GMT",
<http://web.archive.org/web/20141028185815/http://billylongforcongress.com/donate>; rel="memento"; datetime="Tue, 28 Oct 2014 18:58:15 GMT",
<http://web.archive.org/web/20141028185818/https://billylongforcongress.com/donate>; rel="memento"; datetime="Tue, 28 Oct 2014 18:58:18 GMT",
<http://web.archive.org/web/20141028205232/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Tue, 28 Oct 2014 20:52:32 GMT",
<http://web.archive.org/web/20141028205235/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Tue, 28 Oct 2014 20:52:35 GMT",
<http://web.archive.org/web/20141029184654/http://billylongforcongress.com/donate>; rel="memento"; datetime="Wed, 29 Oct 2014 18:46:54 GMT",
<http://web.archive.org/web/20141029184820/https://billylongforcongress.com/donate>; rel="memento"; datetime="Wed, 29 Oct 2014 18:48:20 GMT",
<http://web.archive.org/web/20141029205605/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Wed, 29 Oct 2014 20:56:05 GMT",
<http://web.archive.org/web/20141029205608/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Wed, 29 Oct 2014 20:56:08 GMT",
